INDIVIDUALS,NAME_OF_POPULATION,lat',lon'
A01_PH-8,Powers Hollow,37.281763,-81.33027
A01_SC-01,Saint Clairesville,40.155985,-78.510515
A02_SC-09,Saint Clairesville,40.155985,-78.510515
A02_SELU-02,SELU,37.050129,-80.333659
A03_SELU-10,SELU,37.050129,-80.333659
A03_SP-02,Shawnee State Park,40.0341,-78.6343
A04_KM-8,Knobbs Mountain,38.47285,-78.174912
A04_SP-10,Shawnee State Park,40.0341,-78.6343
A05_BR-01,Blue Rock,38.555584,-79.131435
A05_TC-AC-3,Town Creek,39.58903,-78.56191
A06_BR-09,Blue Rock,38.555584,-79.131435
A07_BF-P1-05,Brush Creek Falls 1,37.281763,-81.33027
A07_SH-01,Smoke Hole,38.545451,-79.141416
A08_SH-09,Smoke Hole,38.545451,-79.141416
A09_PIN-01,The Pinnacle,36.575016,-82.3547
A09_SLR-1-C,Sweet Lilly Ridge,36.93829774,-84.56717353
A10_CC-1-F,Carter Caves,38.22027,-83.07409
A10_PIN-09,The Pinnacle,36.575016,-82.3547
A11_FCR-7,False Castle Rock,38.553138,-79.14252
A11_LE-06,Lutzville,40.00842745,-78.43550965
A12_FCR-15,False Castle Rock,38.553138,-79.14252
A12_LE-15,Lutzville,40.00842745,-78.43550965
B01_PH-9,Powers Hollow,37.281763,-81.33027
B01_SC-02,Saint Clairesville,40.155985,-78.510515
B02_SC-10,Saint Clairesville,40.155985,-78.510515
B02_SELU-03,SELU,37.050129,-80.333659
B03_KM-1,Knobbs Mountain,38.47285,-78.174912
B03_SP-03,Shawnee State Park,40.0341,-78.6343
B04_KM-9,Knobbs Mountain,38.47285,-78.174912
B04_SP-11,Shawnee State Park,40.0341,-78.6343
B05_BR-02,Blue Rock,38.555584,-79.131435
B05_TC-AC-4,Town Creek,39.58903,-78.56191
B06_BR-10,Blue Rock,38.555584,-79.131435
B07_SH-02,Smoke Hole,38.545451,-79.141416
B08_SH-10,Smoke Hole,38.545451,-79.141416
B09_PIN-02,The Pinnacle,36.575016,-82.3547
B09_SLR-1-E,Sweet Lilly Ridge,36.93829774,-84.56717353
B10_CC-1-9,Carter Caves,38.22027,-83.07409
B10_LE-01-1,Lutzville,40.00842745,-78.43550965
B11_FCR-8,False Castle Rock,38.553138,-79.14252
B11_LE-08,Lutzville,40.00842745,-78.43550965
B12_PH-1,Powers Hollow,37.281763,-81.33027
C01_PH-10,Powers Hollow,37.281763,-81.33027
C01_SC-03,Saint Clairesville,40.155985,-78.510515
C02_SC-11,Saint Clairesville,40.155985,-78.510515
C02_SELU-04,SELU,37.050129,-80.333659
C03_KM-2,Knobbs Mountain,38.47285,-78.174912
C03_SP-04,Shawnee State Park,40.0341,-78.6343
C04_KM-10,Knobbs Mountain,38.47285,-78.174912
C04_SP-12,Shawnee State Park,40.0341,-78.6343
C05_BR-03,Blue Rock,38.555584,-79.131435
C05_TC-AC-5,Town Creek,39.58903,-78.56191
C06_BR-11,Blue Rock,38.555584,-79.131435
C07_SH-03,Smoke Hole,38.545451,-79.141416
C08_SH-11,Smoke Hole,38.545451,-79.141416
C09_PIN-03,The Pinnacle,36.575016,-82.3547
C09_SLR-1-F,Sweet Lilly Ridge,36.93829774,-84.56717353
C10_FCR-1,False Castle Rock,38.553138,-79.14252
C10_LE-01-2,Lutzville,40.00842745,-78.43550965
C11_FCR-9,False Castle Rock,38.553138,-79.14252
C11_LE-09,Lutzville,40.00842745,-78.43550965
C12_PH-2,Powers Hollow,37.281763,-81.33027
D01_PH-11,Powers Hollow,37.281763,-81.33027
D01_SC-04,Saint Clairesville,40.155985,-78.510515
D02_SC-12,Saint Clairesville,40.155985,-78.510515
D02_SELU-05,SELU,37.050129,-80.333659
D03_KM-3,Knobbs Mountain,38.47285,-78.174912
D03_SP-05,Shawnee State Park,40.0341,-78.6343
