INDIVIDUALS,POPULATION,STRATA,LOCATION,REGION,LATITUDE,LONGITUDE,STATE
A01_PH-8,Powers Hollow,WV,WV,Central Appalachian Mountains,37.281763,-81.33027,WV
A01_SC-01,Saint Clairesville,PA,PA,Central Appalachian Mountains,40.155985,-78.510515,PA
A02_SC-09,Saint Clairesville,PA,PA,Central Appalachian Mountains,40.155985,-78.510515,PA
A02_SELU-02,SELU,VA,VA,Central Appalachian Mountains,37.050129,-80.333659,VA
A03_SELU-10,SELU,VA,VA,Central Appalachian Mountains,37.050129,-80.333659,VA
A03_SP-02,Shawnee State Park,PA,PA,Central Appalachian Mountains,40.0341,-78.6343,PA
A04_KM-8,Knobbs Mountain,VA,VA,Central Appalachian Mountains,38.47285,-78.174912,VA
A04_SP-10,Shawnee State Park,PA,PA,Central Appalachian Mountains,40.0341,-78.6343,PA
A05_BR-01,Blue Rock,WV,WV,Central Appalachian Mountains,38.555584,-79.131435,WV
A05_TC-AC-3,Town Creek,MD,MD,Central Appalachian Mountains,39.58903,-78.56191,MD
A06_BR-09,Blue Rock,WV,WV,Central Appalachian Mountains,38.555584,-79.131435,WV
A07_BF-P1-05,Brush Creek Falls 1,WV,WV,Central Appalachian Mountains,37.281763,-81.33027,WV
A07_SH-01,Smoke Hole,WV,WV,Central Appalachian Mountains,38.545451,-79.141416,WV
A08_SH-09,Smoke Hole,WV,WV,Central Appalachian Mountains,38.545451,-79.141416,WV
A09_PIN-01,The Pinnacle,VA,VA,Central Appalachian Mountains,36.575016,-82.3547,VA
A09_SLR-1-C,Sweet Lilly Ridge,KY,KY,Interior Low Plateau,36.93829774,-84.56717353,KY
A10_CC-1-F,Carter Caves,KY,KY,Interior Low Plateau,38.22027,-83.07409,KY
A10_PIN-09,The Pinnacle,VA,VA,Central Appalachian Mountains,36.575016,-82.3547,VA
A11_FCR-7,False Castle Rock,WV,WV,Central Appalachian Mountains,38.553138,-79.14252,WV
A11_LE-06,Lutzville,PA,PA,Central Appalachian Mountains,40.00842745,-78.43550965,PA
A12_FCR-15,False Castle Rock,WV,WV,Central Appalachian Mountains,38.553138,-79.14252,WV
A12_LE-15,Lutzville,PA,PA,Central Appalachian Mountains,40.00842745,-78.43550965,PA
B01_PH-9,Powers Hollow,WV,WV,Central Appalachian Mountains,37.281763,-81.33027,WV
B01_SC-02,Saint Clairesville,PA,PA,Central Appalachian Mountains,40.155985,-78.510515,PA
B02_SC-10,Saint Clairesville,PA,PA,Central Appalachian Mountains,40.155985,-78.510515,PA
B02_SELU-03,SELU,VA,VA,Central Appalachian Mountains,37.050129,-80.333659,VA
B03_KM-1,Knobbs Mountain,VA,VA,Central Appalachian Mountains,38.47285,-78.174912,VA
B03_SP-03,Shawnee State Park,PA,PA,Central Appalachian Mountains,40.0341,-78.6343,PA
B04_KM-9,Knobbs Mountain,VA,VA,Central Appalachian Mountains,38.47285,-78.174912,VA
B04_SP-11,Shawnee State Park,PA,PA,Central Appalachian Mountains,40.0341,-78.6343,PA
B05_BR-02,Blue Rock,WV,WV,Central Appalachian Mountains,38.555584,-79.131435,WV
B05_TC-AC-4,Town Creek,MD,MD,Central Appalachian Mountains,39.58903,-78.56191,MD
B06_BR-10,Blue Rock,WV,WV,Central Appalachian Mountains,38.555584,-79.131435,WV
B07_SH-02,Smoke Hole,WV,WV,Central Appalachian Mountains,38.545451,-79.141416,WV
B08_SH-10,Smoke Hole,WV,WV,Central Appalachian Mountains,38.545451,-79.141416,WV
B09_PIN-02,The Pinnacle,VA,VA,Central Appalachian Mountains,36.575016,-82.3547,VA
B09_SLR-1-E,Sweet Lilly Ridge,KY,KY,Interior Low Plateau,36.93829774,-84.56717353,KY
